date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01 00:00:00,10.6,7.5,13.6,4.8,,,19,50,1007.9,61
2023-01-02 00:00:00,5.9,3.5,8.7,0,,,10.2,24,1016.9,174
2023-01-03 00:00:00,8.6,2.1,12.7,0,,,18.6,53,1018.5,6
2023-01-04 00:00:00,12.6,10.8,13.6,0,,,31.4,68,1014.6,49
2023-01-05 00:00:00,11.4,8.9,13.4,0,,,20.7,47,1018.6,24
2023-01-06 00:00:00,9.8,6.4,12.7,2.3,,,19.6,51,1013.7,88
2023-01-07 00:00:00,10.3,7.6,12.4,0,,,28,72,1000.5,22
2023-01-08 00:00:00,7.2,5.4,9,3.8,,,19,49,992.8,32
2023-01-09 00:00:00,6.7,4.4,9.6,7.1,,,20.5,62,1001.3,192
2023-01-10 00:00:00,9,3.9,13,0.3,,,22.5,56,1008.2,0
2023-01-11 00:00:00,8.9,6.9,12.9,5.3,,,28.8,62,1008.4,131
2023-01-12 00:00:00,11.1,7.9,12.6,4.1,,,36,71,1003,12
2023-01-13 00:00:00,8.2,6.5,10.7,3.8,,,32.2,70,1008.7,237
2023-01-14 00:00:00,9.1,5.8,12.6,6.6,,,27.9,60,1000.5,25
2023-01-15 00:00:00,5.3,2.8,8.2,3.3,,,25.4,59,998.3,191
2023-01-16 00:00:00,3.2,-1.5,5.3,10.7,,,14.4,44,986.3,85
2023-01-17 00:00:00,-1.6,-5,1.6,0.3,,,6,22,989.9,137
2023-01-18 00:00:00,0.8,-3.8,5.2,0,1,,12.5,29,998.3,209
2023-01-19 00:00:00,1.2,-2.7,5.6,0,1,,8.7,22,1008.2,268
2023-01-20 00:00:00,3.1,-1.2,6.3,0,,,11.9,28,1019.2,319
2023-01-21 00:00:00,1.5,-1.6,6.2,0.3,,,5.6,18,1032.5,317
2023-01-22 00:00:00,-2.2,-5.5,3.7,0,1,,3.5,13,1035.8,175
2023-01-23 00:00:00,-0.9,-8.4,5.2,0,1,,3.5,13,1037.9,209
2023-01-24 00:00:00,2.9,-1.5,5,0.3,,,6.7,22,1039,180
2023-01-25 00:00:00,1.1,-3.3,6,0,,,8.1,29,1033.3,18
2023-01-26 00:00:00,5.1,3.3,8,2.8,,,13.5,39,1030.5,74
2023-01-27 00:00:00,4.6,2.1,7.3,0,,,9.7,28,1030.9,110
2023-01-28 00:00:00,4.4,1.7,6.2,0,,,6.6,18,1032.1,150
2023-01-29 00:00:00,6.2,4.4,8.6,0,,,15.5,37,1026.7,22
2023-01-30 00:00:00,7.2,4,9.8,0,,,14.8,35,1025.1,216
2023-01-31 00:00:00,7.4,3.4,12.6,0,,,17.8,46,1025,173
2023-02-01 00:00:00,7.7,4.3,10.4,0,,,23.6,49,1025,113
2023-02-02 00:00:00,9.2,6,11.4,0,,,21.1,57,1027.3,78
2023-02-03 00:00:00,10.2,8.4,13.6,0,,,18.6,40,1031.5,88
2023-02-04 00:00:00,8.6,8,11.2,0,,,12.8,28,1038.1,60
2023-02-05 00:00:00,5.7,1.2,8.9,0,,,9.4,28,1044.6,234
2023-02-06 00:00:00,4.7,0.9,11.6,0,,,4,17,1042.1,356
2023-02-07 00:00:00,2.3,-1.3,8.8,0,,,2.8,18,1039,237
2023-02-08 00:00:00,1.5,-3.5,8.3,0,,,6.3,23,1034.8,338
2023-02-09 00:00:00,4.6,-0.4,10.9,0,,,5.2,19,1032.9,242
2023-02-10 00:00:00,4.3,-1.9,9.1,0,,,11.2,31,1036.6,189
2023-02-11 00:00:00,8.9,6.5,10.3,0,,,8.7,28,1036.7,95
2023-02-12 00:00:00,8,7.3,9.6,0,,,9.3,26,1037.3,53
2023-02-13 00:00:00,7.4,3.6,12.6,0,,,10.3,23,1034.1,359
2023-02-14 00:00:00,4.9,-0.1,12.2,0,,,4.2,16,1030.7,371
2023-02-15 00:00:00,7.9,1.2,15.7,0.3,,,11.6,35,1023.4,276
2023-02-16 00:00:00,10.2,7.6,13.4,0.5,,,18.1,39,1020.2,17
2023-02-17 00:00:00,12.4,10.3,15.2,0,,,27.2,56,1021.6,48
2023-02-18 00:00:00,11.6,9.6,12.4,0,,,25.7,63,1021.4,37
2023-02-19 00:00:00,9.7,6.4,13.8,0.3,,,15.7,36,1026.4,227
2023-02-20 00:00:00,9.4,5.9,13.8,0,,,20.7,40,1024.1,75
2023-02-21 00:00:00,8,5.9,11.1,0,,,9.9,32,1017.9,104
2023-02-22 00:00:00,7.4,5.7,9.6,1.3,,,9.6,25,1012,57
2023-02-23 00:00:00,6.2,1.7,8.9,2.3,,,13.4,48,1018.3,60
2023-02-24 00:00:00,4.7,-1.3,10.7,0,,,10.1,38,1014.2,16
2023-02-25 00:00:00,4.8,2.9,8.2,0,,,13.5,49,1017.6,123
2023-02-26 00:00:00,3.7,1.4,8.2,0,,,11.7,41,1027.1,170
2023-02-27 00:00:00,3.9,0.1,8.7,0,,,12.2,35,1031.7,75
2023-02-28 00:00:00,4.7,1.3,8,0,,,13.4,48,1032.6,51
2023-03-01 00:00:00,5.9,4.2,8.6,0,,,12.1,34,1029.1,43
2023-03-02 00:00:00,4.8,1.7,9.6,0,,,12.1,35,1026,399
2023-03-03 00:00:00,5.8,3.5,6.6,0,,,11,30,1029.1,88
2023-03-04 00:00:00,5.6,4.6,7.2,0,,,9.7,27,1029.5,103
2023-03-05 00:00:00,3.9,3.3,6.5,0,,,10,27,1019.3,104
2023-03-06 00:00:00,5.5,0.3,10.1,0,,,15.5,47,1006,16
2023-03-07 00:00:00,3.1,0.9,7.3,5.6,,,8.1,37,1000.3,56
2023-03-08 00:00:00,1.9,0.5,3,2,,,13.5,42,991.6,0
2023-03-09 00:00:00,6.3,1.8,11.6,11.2,,,12.6,36,990.9,0
2023-03-10 00:00:00,5.2,1.6,10.4,7.1,,,13.5,55,997.1,100
2023-03-11 00:00:00,3.4,-2.2,8.5,1,,,11.3,35,1009.5,76
2023-03-12 00:00:00,10,3.8,14.3,1.3,,,20.4,46,1005.6,102
2023-03-13 00:00:00,12.1,10.3,14.5,1,,,37.7,80,990.5,120
2023-03-14 00:00:00,6.8,4.1,11,1.8,,,20.8,49,1003.2,252
2023-03-15 00:00:00,4.8,0,8.4,0.3,,,11.8,33,1015.6,173
2023-03-16 00:00:00,10.8,6.8,14,3.6,,,18.3,44,1006.2,20
2023-03-17 00:00:00,11.8,10.5,15.2,0.3,,,13.5,35,1003.8,115
2023-03-18 00:00:00,10.7,8.8,15.4,1.5,,,11.8,31,1006.1,34
2023-03-19 00:00:00,8.6,5.9,11.6,2.3,,,13.4,32,1015.9,157
2023-03-20 00:00:00,10.2,8.2,13.3,0.3,,,17.6,34,1016.6,0
2023-03-21 00:00:00,11.2,8.8,14.8,2.5,,,21.8,48,1008.9,103
2023-03-22 00:00:00,11.8,10.2,15.8,0.8,,,30,59,999.8,111
2023-03-23 00:00:00,11.4,8.8,15.5,1.5,,,28.5,70,997,183
2023-03-24 00:00:00,9.6,7.5,14.6,3.3,,,25.5,60,998.1,233
2023-03-25 00:00:00,10.5,7.5,14.9,10.9,,,28.9,69,1003.6,283
2023-03-26 00:00:00,7.5,6.3,11.8,5.1,,,11.7,39,1007.2,2
