Date,Max Temperature (°F),Avg Temperature (°F),Min Temperature (°F),Max Dew Point (°F),Avg Dew Point (°F),Min Dew Point (°F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (in),Avg Pressure (in),Min Pressure (in),Precipitation (in)
01/01/2023,54,50.9,45,48,44.9,43,93,80.1,71,20,11.6,2,29.7,29.7,29.5,0
02/01/2023,46,42.5,36,43,38.8,34,100,87,70,12,6.5,1,30.1,29.9,29.7,0
03/01/2023,55,47.8,37,52,45.5,36,100,92.2,87,21,12.4,0,30.1,30,29.8,0
04/01/2023,57,54.4,52,52,48.4,45,94,80.2,67,28,18.7,12,30,29.9,29.8,0
05/01/2023,57,52.9,50,50,47.1,45,94,81.5,72,17,12.8,8,30,30,29.8,0
06/01/2023,54,49.8,43,52,45.7,41,100,86.5,76,22,12.2,7,29.9,29.8,29.7,0
07/01/2023,55,50.3,45,50,45.3,39,94,83.5,76,29,17.7,9,29.7,29.4,29.3,0
08/01/2023,50,45,41,45,41.4,37,93,86.9,81,16,12.2,6,29.4,29.2,29.1,0
09/01/2023,48,44.3,41,41,37.8,34,93,78.7,62,21,13,8,29.9,29.5,29.1,0
10/01/2023,55,48.5,39,52,45.1,36,100,87.7,76,21,13.7,6,29.9,29.7,29.5,0
11/01/2023,52,48,45,46,41.9,37,87,79.1,62,22,17.5,12,29.8,29.7,29.6,0
12/01/2023,55,51.9,46,50,45.9,37,94,81.1,62,29,21.4,16,29.6,29.5,29.5,0
13/01/2023,50,46.7,43,39,37.4,37,87,71,62,29,19.7,8,29.9,29.7,29.5,0
14/01/2023,54,48.4,43,52,42.9,34,94,81.7,66,26,17.7,9,29.8,29.4,29.3,0
15/01/2023,46,41.5,36,37,34.4,32,93,75.8,66,21,14.5,7,29.4,29.4,29.1,0
16/01/2023,41,37.2,28,37,31.9,21,93,81.3,60,14,8.3,2,29.1,29,28.9,0
17/01/2023,34,29.3,25,28,24.9,21,93,83.5,74,10,3.5,0,29.2,29.1,29.1,0
18/01/2023,41,33.6,28,34,28.8,25,93,82.6,65,12,7.7,1,29.6,29.4,29.2,0
19/01/2023,41,34.1,28,32,29.1,27,100,83,65,12,5.9,2,29.8,29.7,29.6,0
20/01/2023,43,37.7,30,34,31.2,27,93,77.8,70,10,6.1,2,30.2,30,29.8,0
21/01/2023,43,34.6,28,34,29.9,27,100,84,66,7,2.8,0,30.5,30.4,30.2,0
22/01/2023,34,27.8,23,32,26.6,23,100,95.3,87,6,1.4,0,30.5,30.5,30.5,0
23/01/2023,41,30.8,19,34,26.7,18,100,85.5,65,6,2.8,1,30.6,30.6,30.5,0
24/01/2023,41,36.8,28,34,32,27,93,82.5,70,9,3.9,0,30.6,30.6,30.6,0
25/01/2023,43,34.4,27,41,33,25,100,95.1,87,9,5.3,1,30.5,30.4,30.3,0
26/01/2023,46,41.1,37,41,36.8,34,93,84.8,76,10,7.5,3,30.4,30.3,30.3,0
27/01/2023,45,40.2,36,37,34.8,32,93,81.4,61,10,5.7,2,30.4,30.4,30.3,0
28/01/2023,43,40.1,36,37,32.8,28,93,75.3,65,8,3.9,0,30.4,30.4,30.4,0
29/01/2023,48,43.3,39,45,39.4,36,93,86.3,81,15,9.6,3,30.4,30.2,30.1,0
30/01/2023,50,44.7,37,45,37,34,93,74.4,57,13,8.8,5,30.3,30.2,30.1,0
31/01/2023,54,45.7,41,45,38.1,34,87,75.2,54,15,11.3,5,30.2,30.2,30.1,0
01/02/2023,50,46,41,41,37.9,36,81,73.5,62,21,14.8,9,30.2,30.2,30.1,0
02/02/2023,52,48.8,45,46,42.2,39,87,78,71,22,13.6,6,30.3,30.2,30.2,0
03/02/2023,55,50.5,46,46,45,43,93,80.7,67,16,12.3,6,30.5,30.4,30.3,0
04/02/2023,48,47.3,46,45,42.3,39,93,82,71,12,8.4,6,30.6,30.6,30.5,0
05/02/2023,46,41.8,34,43,34.4,30,87,75.1,57,9,4.9,1,30.8,30.8,30.6,0
06/02/2023,52,41,32,36,31.7,27,93,72.2,40,7,2.8,1,30.8,30.7,30.6,0
07/02/2023,46,36.3,28,37,31.7,27,100,85.2,57,5,1.9,0,30.6,30.6,30.6,0
08/02/2023,46,34.7,25,34,29.8,23,100,83.6,50,10,4.2,0,30.6,30.4,30.3,0
09/02/2023,50,40.3,34,39,34.2,32,93,79.8,54,6,3.1,1,30.5,30.4,30.3,0
10/02/2023,48,40,30,43,34.8,28,100,82.3,62,15,6.9,0,30.5,30.5,30.5,0
11/02/2023,50,47.8,46,45,41.4,39,93,77.8,66,12,5.2,1,30.6,30.5,30.5,0
12/02/2023,48,45.9,45,43,40.1,37,87,79.5,71,9,5.3,2,30.6,30.5,30.5,0
13/02/2023,54,45.2,37,41,38.2,34,100,78,62,9,5.7,1,30.5,30.4,30.4,0
14/02/2023,54,40.6,32,43,37.7,30,100,90,67,6,2.3,0,30.4,30.3,30.2,0
15/02/2023,59,46.4,36,48,40.1,34,100,79.7,51,14,7.5,0,30.2,30.1,30.1,0
